date,symbol,close,low,high,open,volume
2020-04-02,AAPL,230.16,225.56,234.77,229.62,69068379
2020-04-03,AAPL,230.32,225.71,234.92,228.04,75147639
2020-04-04,AAPL,227.72,223.16,232.27,227.33,21201106
2020-04-05,AAPL,217.73,213.37,222.08,218.71,50096815
2020-04-06,AAPL,221.06,216.63,225.48,221.21,99244908
2020-04-07,AAPL,232.02,227.38,236.66,230.86,88640121
2020-04-08,AAPL,235.43,230.72,240.14,234.61,75213973
2020-04-09,AAPL,233.45,228.78,238.12,232.55,40967518
2020-04-10,AAPL,242.43,237.58,247.28,240.87,7611587
2020-04-11,AAPL,241.09,236.26,245.91,240.72,84765997
2020-04-12,AAPL,245.16,240.26,250.06,247.06,83006710
2020-04-13,AAPL,247.98,243.02,252.94,249.4,12129365
2020-04-14,AAPL,252.16,247.12,257.2,253.72,86963146
2020-04-15,AAPL,243.22,238.35,248.08,241.66,42010230
2020-04-16,AAPL,240.39,235.58,245.2,239.55,15399314
2020-04-17,AAPL,228.95,224.37,233.53,230.43,80367694
2020-04-18,AAPL,217.91,213.55,222.27,216.47,89320635
2020-04-19,AAPL,220.14,215.74,224.54,219.89,84077128
2020-04-20,AAPL,229.59,225.0,234.19,230.64,1169326
2020-04-21,AAPL,228.73,224.15,233.3,229.48,54636203
2020-04-22,AAPL,229.72,225.12,234.31,229.23,67326293
2020-04-23,AAPL,231.29,226.67,235.92,230.23,87173538
2020-04-24,AAPL,224.62,220.13,229.12,226.01,83013412
2020-04-25,AAPL,218.82,214.45,223.2,217.37,61113548
2020-04-26,AAPL,215.72,211.41,220.03,215.24,58712415
2020-04-27,AAPL,214.84,210.54,219.13,215.8,74377221
2020-04-28,AAPL,205.64,201.53,209.75,207.52,40985333
2020-04-29,AAPL,202.01,197.97,206.05,200.65,96995374
2020-04-30,AAPL,199.21,195.22,203.19,199.18,76830403
2020-05-01,AAPL,202.17,198.13,206.21,203.75,93884902
2020-05-02,AAPL,210.58,206.37,214.8,210.85,42827520
2020-05-03,AAPL,200.1,196.1,204.1,198.69,7912767
2020-05-04,AAPL,197.32,193.37,201.27,198.93,70392721
2020-05-05,AAPL,205.0,200.9,209.1,204.73,5070884
2020-05-06,AAPL,206.74,202.6,210.87,205.52,29000031
2020-05-07,AAPL,205.21,201.11,209.32,205.87,26662751
2020-05-08,AAPL,213.88,209.61,218.16,214.64,23667416
2020-05-09,AAPL,207.55,203.4,211.7,208.78,72982293
2020-05-10,AAPL,211.52,207.29,215.75,213.14,70342521
2020-05-11,AAPL,217.28,212.93,221.62,215.75,5944715
2020-05-12,AAPL,213.44,209.17,217.71,214.91,15424139
2020-05-13,AAPL,208.22,204.06,212.39,208.55,81075654
2020-05-14,AAPL,208.12,203.96,212.28,206.99,5091951
2020-05-15,AAPL,203.2,199.14,207.27,203.49,32216578
2020-05-16,AAPL,208.34,204.17,212.5,206.3,64194396
2020-05-17,AAPL,200.03,196.03,204.03,199.65,37033323
2020-05-18,AAPL,205.11,201.0,209.21,206.98,73257708
2020-05-19,AAPL,209.57,205.38,213.77,211.6,64676931
2020-05-20,AAPL,211.96,207.72,216.2,212.34,43143858
2020-05-21,AAPL,216.77,212.43,221.1,216.06,12808540
2020-05-22,AAPL,227.55,223.0,232.1,226.36,51596327
2020-05-23,AAPL,231.21,226.59,235.84,230.18,86114663
2020-05-24,AAPL,242.46,237.62,247.31,241.62,55572308
2020-05-25,AAPL,252.55,247.49,257.6,253.85,87325804
2020-05-26,AAPL,264.6,259.31,269.9,263.71,59892054
2020-05-27,AAPL,272.97,267.51,278.43,272.51,4165929
2020-05-28,AAPL,272.46,267.01,277.91,270.1,73151138
2020-05-29,AAPL,272.13,266.68,277.57,274.72,33832049
2020-05-30,AAPL,281.14,275.52,286.76,282.0,73677563
2020-05-31,AAPL,273.05,267.59,278.51,271.43,15321542
2020-06-01,AAPL,261.06,255.83,266.28,262.4,77150685
2020-06-02,AAPL,260.33,255.12,265.54,262.13,86870058
2020-06-03,AAPL,257.3,252.15,262.44,258.52,91995962
2020-06-04,AAPL,264.08,258.8,269.36,263.56,61269852
2020-06-05,AAPL,256.69,251.56,261.82,258.74,56308913
2020-06-06,AAPL,255.4,250.3,260.51,254.12,84397411
2020-06-07,AAPL,249.03,244.05,254.01,247.56,9303161
2020-06-08,AAPL,243.96,239.08,248.84,244.71,60271637
2020-06-09,AAPL,255.79,250.67,260.9,257.14,95257165
2020-06-10,AAPL,259.09,253.91,264.27,256.96,69851348
2020-06-11,AAPL,248.63,243.66,253.6,247.69,80010125
2020-06-12,AAPL,239.32,234.54,244.11,240.33,23404028
2020-06-13,AAPL,238.09,233.33,242.85,238.91,19527600
2020-06-14,AAPL,232.66,228.01,237.32,232.27,14522557
2020-06-15,AAPL,242.39,237.55,247.24,241.94,76528029
2020-06-16,AAPL,252.55,247.5,257.6,253.77,99779007
2020-06-17,AAPL,244.99,240.09,249.89,244.93,22995342
2020-06-18,AAPL,254.01,248.93,259.09,253.77,92853779
2020-06-19,AAPL,255.78,250.67,260.9,257.08,30007944
2020-06-20,AAPL,267.44,262.09,272.78,268.25,33443753
2020-06-21,AAPL,277.08,271.54,282.62,275.77,57094975
2020-06-22,AAPL,273.28,267.82,278.75,273.91,26512685
2020-06-23,AAPL,281.57,275.94,287.2,280.06,32651806
2020-06-24,AAPL,282.65,276.99,288.3,284.06,88779621
2020-06-25,AAPL,296.12,290.19,302.04,295.48,70821017
2020-06-26,AAPL,295.28,289.37,301.18,293.61,38505763
2020-06-27,AAPL,294.13,288.25,300.02,293.04,28234761
2020-06-28,AAPL,279.74,274.15,285.34,277.13,47820354
2020-06-29,AAPL,288.45,282.68,294.21,289.7,19313712
2020-06-30,AAPL,278.22,272.66,283.79,278.04,74016593
2020-07-01,AAPL,283.81,278.13,289.49,284.71,37169029
2020-07-02,AAPL,286.77,281.04,292.51,286.54,60373769
2020-07-03,AAPL,279.95,274.35,285.55,280.74,51660999
2020-07-04,AAPL,293.69,287.82,299.57,291.8,62877162
2020-07-05,AAPL,306.96,300.82,313.1,307.59,9086133
2020-07-06,AAPL,300.23,294.23,306.24,300.31,64172240
2020-07-07,AAPL,304.95,298.85,311.05,302.83,60589840
2020-07-08,AAPL,317.65,311.3,324.0,316.54,80484804
2020-07-09,AAPL,317.33,310.99,323.68,319.1,4046829
2020-07-10,AAPL,302.79,296.73,308.84,301.36,59525270
2020-07-11,AAPL,297.14,291.2,303.08,298.07,52734904
2020-07-12,AAPL,302.74,296.69,308.8,305.12,36122741
2020-07-13,AAPL,312.49,306.24,318.74,310.66,78083991
2020-07-14,AAPL,310.75,304.53,316.96,309.19,46977672
2020-07-15,AAPL,298.57,292.59,304.54,296.42,51362641
2020-07-16,AAPL,285.47,279.76,291.18,282.84,38695564
2020-07-17,AAPL,298.05,292.09,304.01,296.74,53656697
2020-07-18,AAPL,312.5,306.25,318.75,313.01,93102046
2020-07-19,AAPL,308.28,302.11,314.44,307.29,47025762
2020-07-20,AAPL,313.44,307.17,319.7,314.28,1007435
2020-07-21,AAPL,319.35,312.97,325.74,320.68,77610970
2020-07-22,AAPL,328.92,322.34,335.5,331.27,13614336
2020-07-23,AAPL,337.36,330.62,344.11,338.64,30147412
2020-07-24,AAPL,333.97,327.29,340.64,333.02,96660071
2020-07-25,AAPL,338.07,331.31,344.83,339.06,27951129
2020-07-26,AAPL,341.33,334.5,348.15,343.22,88470949
2020-07-27,AAPL,356.97,349.84,364.11,353.57,49479470
2020-07-28,AAPL,363.14,355.88,370.4,365.64,82104406
2020-07-29,AAPL,363.09,355.83,370.36,363.0,80826464
2020-07-30,AAPL,374.16,366.68,381.64,373.27,65304894
2020-07-31,AAPL,384.98,377.28,392.68,385.01,42525315
2020-08-01,AAPL,380.55,372.94,388.16,384.35,40494059
2020-08-02,AAPL,390.75,382.93,398.56,386.98,26082369
2020-08-03,AAPL,398.63,390.65,406.6,395.68,26807342
2020-08-04,AAPL,400.01,392.01,408.01,403.69,21123766
2020-08-05,AAPL,388.16,380.39,395.92,386.55,42609473
2020-08-06,AAPL,377.68,370.13,385.23,380.69,93800220
2020-08-07,AAPL,386.46,378.73,394.19,389.07,78998501
2020-08-08,AAPL,392.15,384.31,399.99,390.49,66841480
2020-08-09,AAPL,411.36,403.14,419.59,410.07,6466506
2020-08-10,AAPL,428.4,419.84,436.97,425.38,98261921
2020-08-11,AAPL,421.85,413.41,430.28,424.54,71256092
2020-08-12,AAPL,422.69,414.23,431.14,421.86,78082137
2020-08-13,AAPL,413.23,404.96,421.49,409.71,25403947
2020-08-14,AAPL,396.34,388.41,404.27,392.97,33728892
2020-08-15,AAPL,412.58,404.33,420.83,415.45,22352230
2020-08-16,AAPL,401.74,393.7,409.77,401.64,15450079
2020-08-17,AAPL,388.3,380.54,396.07,390.24,91199565
2020-08-18,AAPL,387.76,380.01,395.52,384.1,66003586
2020-08-19,AAPL,383.88,376.21,391.56,386.78,88090772
2020-08-20,AAPL,375.06,367.56,382.56,377.04,71864844
2020-08-21,AAPL,379.63,372.04,387.22,377.75,25000882
2020-08-22,AAPL,361.74,354.5,368.97,358.72,49125894
2020-08-23,AAPL,352.06,345.02,359.1,350.24,38809070
2020-08-24,AAPL,358.91,351.73,366.09,360.32,90812612
2020-08-25,AAPL,368.69,361.31,376.06,367.0,90430597
2020-08-26,AAPL,374.68,367.18,382.17,376.44,77385324
2020-08-27,AAPL,391.05,383.23,398.87,391.8,4713712
2020-08-28,AAPL,402.79,394.73,410.84,401.17,64082546
2020-08-29,AAPL,384.2,376.52,391.89,385.04,74114988
2020-08-30,AAPL,396.99,389.05,404.93,399.81,60371587
2020-08-31,AAPL,404.08,396.0,412.16,401.19,57720074
2020-09-01,AAPL,414.34,406.06,422.63,415.68,82033177
2020-09-02,AAPL,395.69,387.77,403.6,393.82,97078573
2020-09-03,AAPL,391.46,383.63,399.29,395.06,72964942
2020-09-04,AAPL,397.18,389.23,405.12,395.24,78095537
2020-09-05,AAPL,381.06,373.44,388.68,378.68,39506458
2020-09-06,AAPL,367.92,360.57,375.28,368.5,99360880
2020-09-07,AAPL,385.35,377.64,393.06,386.0,43267496
2020-09-08,AAPL,370.46,363.05,377.87,367.63,12164341
2020-09-09,AAPL,362.26,355.01,369.5,362.22,59780071
2020-09-10,AAPL,345.76,338.85,352.68,343.35,32605254
2020-09-11,AAPL,345.89,338.97,352.8,346.74,4889109
2020-09-12,AAPL,357.69,350.54,364.84,359.94,55864415
2020-09-13,AAPL,367.23,359.89,374.58,365.67,22912157
2020-09-14,AAPL,378.02,370.46,385.59,380.04,75343883
2020-09-15,AAPL,371.57,364.13,379.0,370.4,65804883
2020-09-16,AAPL,358.98,351.8,366.16,361.02,50386864
2020-09-17,AAPL,350.55,343.54,357.56,347.85,16941426
2020-09-18,AAPL,337.36,330.61,344.11,337.29,95798254
2020-09-19,AAPL,352.47,345.42,359.52,353.3,69168239
2020-09-20,AAPL,337.88,331.13,344.64,336.83,96607238
2020-09-21,AAPL,340.7,333.89,347.52,342.0,10720681
2020-09-22,AAPL,357.48,350.33,364.63,354.76,67491267
2020-09-23,AAPL,362.29,355.04,369.53,361.39,76951491
2020-09-24,AAPL,352.37,345.33,359.42,355.61,34922426
2020-09-25,AAPL,358.69,351.52,365.86,356.43,90998815
2020-09-26,AAPL,364.46,357.17,371.74,360.86,66980636
2020-09-27,AAPL,371.58,364.14,379.01,374.23,89512362
2020-09-28,AAPL,369.0,361.62,376.38,367.24,41787016
2020-09-29,AAPL,366.11,358.79,373.43,367.85,2970446
2020-09-30,AAPL,380.4,372.79,388.01,380.43,5971916
2020-10-01,AAPL,369.42,362.03,376.8,368.9,37947830
2020-10-02,AAPL,351.85,344.82,358.89,348.67,97620001
2020-10-03,AAPL,360.88,353.66,368.09,362.38,59852130
2020-10-04,AAPL,368.83,361.45,376.21,367.42,81895970
2020-10-05,AAPL,383.38,375.71,391.05,384.66,17095482
2020-10-06,AAPL,369.18,361.79,376.56,371.97,39715553
2020-10-07,AAPL,377.4,369.85,384.95,379.24,39851645
2020-10-08,AAPL,395.75,387.84,403.67,394.96,58954434
2020-10-09,AAPL,408.57,400.4,416.74,408.57,85120032
2020-10-10,AAPL,400.42,392.41,408.43,400.12,76845509
2020-10-11,AAPL,405.75,397.64,413.87,408.11,95200631
2020-10-12,AAPL,407.21,399.06,415.35,405.28,74692067
2020-10-13,AAPL,387.46,379.71,395.21,389.29,21240368
2020-10-14,AAPL,371.24,363.82,378.67,369.14,8610584
2020-10-15,AAPL,353.5,346.43,360.57,356.56,87920901
2020-10-16,AAPL,344.47,337.58,351.36,343.59,20657761
2020-10-17,AAPL,352.86,345.8,359.92,354.04,99697523
2020-10-18,AAPL,349.77,342.78,356.77,348.74,53551020
2020-10-19,AAPL,360.65,353.44,367.86,362.49,69835734
2020-10-20,AAPL,374.42,366.93,381.91,377.83,87891684
2020-10-21,AAPL,366.4,359.07,373.73,368.64,81203467
2020-10-22,AAPL,359.97,352.78,367.17,361.59,63492128
2020-10-23,AAPL,366.14,358.82,373.47,364.03,47316013
2020-10-24,AAPL,365.42,358.11,372.73,368.25,85436461
2020-10-25,AAPL,355.78,348.66,362.89,358.16,50063910
2020-10-26,AAPL,359.34,352.15,366.52,359.86,68614611
2020-10-27,AAPL,353.52,346.44,360.59,355.94,21104135
2020-10-28,AAPL,347.04,340.1,353.98,347.13,82225451
2020-10-29,AAPL,352.05,345.0,359.09,352.06,58991968
2020-10-30,AAPL,356.39,349.26,363.52,355.88,5535038
2020-10-31,AAPL,348.67,341.7,355.64,347.59,18965546
2020-11-01,AAPL,337.65,330.9,344.4,336.78,67671997
2020-11-02,AAPL,344.7,337.81,351.6,345.32,56660244
2020-11-03,AAPL,340.72,333.91,347.54,342.76,13416077
2020-11-04,AAPL,343.21,336.35,350.08,342.5,18881623
2020-11-05,AAPL,327.74,321.19,334.3,330.04,16411277
2020-11-06,AAPL,322.78,316.32,329.23,319.95,6097031
2020-11-07,AAPL,335.12,328.41,341.82,333.48,39609174
2020-11-08,AAPL,324.69,318.19,331.18,325.21,68769672
2020-11-09,AAPL,340.86,334.05,347.68,343.48,34059031
2020-11-10,AAPL,331.6,324.97,338.23,329.07,29673459
2020-11-11,AAPL,328.92,322.34,335.5,327.03,6461506
2020-11-12,AAPL,325.58,319.07,332.09,328.36,6808590
2020-11-13,AAPL,318.55,312.18,324.92,319.75,48913676
2020-11-14,AAPL,331.52,324.89,338.15,329.05,17081501
2020-11-15,AAPL,317.25,310.91,323.6,314.35,97649391
2020-11-16,AAPL,327.14,320.6,333.68,329.69,62374386
2020-11-17,AAPL,329.61,323.02,336.2,328.34,37078377
2020-11-18,AAPL,321.02,314.6,327.44,320.08,57359667
2020-11-19,AAPL,312.93,306.67,319.19,311.39,79321788
2020-11-20,AAPL,308.35,302.19,314.52,305.43,27620448
2020-11-21,AAPL,303.65,297.58,309.72,301.59,6623050
2020-11-22,AAPL,297.86,291.91,303.82,296.11,23845641
2020-11-23,AAPL,311.96,305.72,318.2,310.99,9611264
2020-11-24,AAPL,311.57,305.34,317.8,308.84,3337128
2020-11-25,AAPL,304.41,298.32,310.5,306.81,66055606
2020-11-26,AAPL,297.73,291.78,303.69,296.72,92050939
2020-11-27,AAPL,301.23,295.21,307.26,303.15,84885837
2020-11-28,AAPL,302.81,296.76,308.87,302.31,86764970
2020-11-29,AAPL,309.95,303.75,316.15,309.04,84764131
2020-11-30,AAPL,314.1,307.81,320.38,313.85,88215591
2020-12-01,AAPL,305.85,299.73,311.97,303.1,8576635
2020-12-02,AAPL,302.23,296.19,308.28,301.12,22677640
2020-12-03,AAPL,294.09,288.21,299.97,296.98,24804067
2020-12-04,AAPL,296.54,290.61,302.47,298.44,24999848
2020-12-05,AAPL,285.94,280.22,291.66,284.49,46261088
2020-12-06,AAPL,298.27,292.3,304.23,299.42,4521942
2020-12-07,AAPL,310.08,303.88,316.29,309.27,57625600
2020-12-08,AAPL,316.37,310.04,322.69,316.13,30204847
2020-12-09,AAPL,316.4,310.08,322.73,317.53,70752453
2020-12-10,AAPL,323.61,317.14,330.08,321.42,96097897
2020-12-11,AAPL,325.83,319.32,332.35,326.4,50680785
2020-12-12,AAPL,315.23,308.92,321.53,316.58,41294981
2020-12-13,AAPL,324.5,318.01,330.99,322.82,68870834
2020-12-14,AAPL,326.65,320.12,333.18,324.24,11003513
2020-12-15,AAPL,322.04,315.59,328.48,319.25,65896338
2020-12-16,AAPL,306.05,299.93,312.18,305.27,51668415
2020-12-17,AAPL,292.89,287.03,298.75,295.08,1517021
2020-12-18,AAPL,300.32,294.31,306.33,300.96,50553951
2020-12-19,AAPL,312.84,306.58,319.1,311.49,8854337
2020-12-20,AAPL,316.11,309.79,322.43,314.35,27555502
2020-12-21,AAPL,327.89,321.33,334.44,329.6,74963679
2020-12-22,AAPL,340.03,333.23,346.83,337.85,39642252
2020-12-23,AAPL,336.83,330.1,343.57,336.69,46974445
2020-12-24,AAPL,320.47,314.06,326.88,318.43,98028584
2020-12-25,AAPL,307.99,301.83,314.15,306.07,22301453
2020-12-26,AAPL,318.72,312.34,325.09,318.76,3078610
2020-12-27,AAPL,315.27,308.96,321.57,318.03,69692670
2020-12-28,AAPL,319.31,312.92,325.7,320.88,85296348
2020-12-29,AAPL,327.51,320.96,334.06,330.3,60336526
2020-12-30,AAPL,322.37,315.92,328.82,323.87,88752927
2020-12-31,AAPL,312.99,306.73,319.25,312.9,91385022
2021-01-01,AAPL,304.73,298.63,310.82,302.52,41213426
2021-01-02,AAPL,301.07,295.05,307.09,299.86,69471245
2021-01-03,AAPL,295.72,289.8,301.63,296.53,75309372
2021-01-04,AAPL,281.2,275.58,286.83,279.29,68239128
2021-01-05,AAPL,286.96,281.22,292.7,287.62,99768509
2021-01-06,AAPL,294.91,289.01,300.81,294.63,12030611
2021-01-07,AAPL,287.43,281.69,293.18,285.48,33609854
2021-01-08,AAPL,300.01,294.01,306.01,299.34,45389031
2021-01-09,AAPL,291.33,285.5,297.15,290.52,18457307
2021-01-10,AAPL,290.08,284.28,295.88,287.57,12881687
2021-01-11,AAPL,281.25,275.62,286.87,284.01,17062904
2021-01-12,AAPL,273.13,267.67,278.6,272.66,76914682
2021-01-13,AAPL,268.92,263.54,274.3,267.73,98185485
2021-01-14,AAPL,279.51,273.92,285.1,278.62,9177757
2021-01-15,AAPL,292.51,286.66,298.36,291.86,33660146
2021-01-16,AAPL,306.09,299.97,312.21,305.57,24016457
2021-01-17,AAPL,310.19,303.99,316.39,311.92,31181220
2021-01-18,AAPL,294.88,288.98,300.77,296.67,49919637
2021-01-19,AAPL,281.81,276.17,287.44,283.88,95866658
2021-01-20,AAPL,275.63,270.12,281.14,277.48,42968473
2021-01-21,AAPL,264.33,259.04,269.61,261.99,2311578
2021-01-22,AAPL,257.55,252.39,262.7,258.05,17808878
2021-01-23,AAPL,258.12,252.96,263.28,259.11,24183491
2021-01-24,AAPL,262.74,257.49,268.0,264.09,71440046
2021-01-25,AAPL,265.54,260.23,270.85,267.84,80445840
2021-01-26,AAPL,272.25,266.81,277.7,274.46,60845466
2021-01-27,AAPL,273.08,267.62,278.54,275.05,94382464
2021-01-28,AAPL,279.06,273.48,284.64,276.28,10628332
2021-01-29,AAPL,284.68,278.98,290.37,283.51,18510258
2021-01-30,AAPL,292.15,286.31,297.99,294.54,60648053
2021-01-31,AAPL,287.77,282.02,293.53,285.84,19674681
2021-02-01,AAPL,301.51,295.48,307.54,302.74,29383865
2021-02-02,AAPL,289.78,283.99,295.58,289.58,18296148
2021-02-03,AAPL,301.27,295.24,307.29,302.24,76582503
2021-02-04,AAPL,308.08,301.92,314.24,306.39,5957382
2021-02-05,AAPL,295.47,289.56,301.38,294.05,51596781
2021-02-06,AAPL,291.9,286.06,297.73,293.53,82508005
2021-02-07,AAPL,278.58,273.01,284.15,276.33,45309283
2021-02-08,AAPL,288.33,282.56,294.1,291.09,98483065
2021-02-09,AAPL,280.55,274.93,286.16,279.99,75463877
2021-02-10,AAPL,269.68,264.28,275.07,269.72,95008372
2021-02-11,AAPL,262.87,257.61,268.13,265.12,2242895
2021-02-12,AAPL,268.43,263.06,273.8,267.64,99731796
2021-02-13,AAPL,268.87,263.49,274.24,267.98,66413414
2021-02-14,AAPL,277.42,271.87,282.97,276.21,80248404
2021-02-15,AAPL,274.3,268.81,279.78,274.61,26389847
2021-02-16,AAPL,272.08,266.64,277.52,273.82,56119905
2021-02-17,AAPL,282.83,277.18,288.49,284.32,72434525
2021-02-18,AAPL,290.27,284.47,296.08,290.34,58812971
2021-02-19,AAPL,288.29,282.53,294.06,289.38,3373248
2021-02-20,AAPL,298.69,292.71,304.66,300.28,70788484
2021-02-21,AAPL,287.19,281.44,292.93,288.8,98143293
2021-02-22,AAPL,278.29,272.72,283.85,275.71,1364763
2021-02-23,AAPL,273.63,268.16,279.1,275.05,12229677
2021-02-24,AAPL,263.14,257.87,268.4,265.48,89416066
2021-02-25,AAPL,275.84,270.33,281.36,274.05,56610318
2021-02-26,AAPL,285.79,280.08,291.51,284.29,28395151
2021-02-27,AAPL,300.06,294.06,306.06,297.64,28472441
2021-02-28,AAPL,313.36,307.09,319.63,316.07,5850604
2021-03-01,AAPL,303.05,296.99,309.11,304.43,73496610
2021-03-02,AAPL,311.54,305.31,317.78,308.67,98682573
2021-03-03,AAPL,321.04,314.62,327.46,320.36,26029340
2021-03-04,AAPL,329.93,323.33,336.53,326.9,96245576
2021-03-05,AAPL,346.24,339.32,353.17,346.49,40009813
2021-03-06,AAPL,342.03,335.19,348.87,343.02,91409685
2021-03-07,AAPL,337.04,330.3,343.78,339.38,3171486
2021-03-08,AAPL,334.04,327.36,340.72,333.42,2452633
2021-03-09,AAPL,340.55,333.74,347.36,343.92,17455535
2021-03-10,AAPL,327.93,321.37,334.48,329.99,23632885
2021-03-11,AAPL,330.02,323.42,336.62,327.79,58658780
